Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Wii,2006.0,Sports,Nintendo,82.53,76.0,51.0,8,322.0,E
Wii,2008.0,Racing,Nintendo,35.52,82.0,73.0,8.3,709.0,E
Wii,2009.0,Sports,Nintendo,32.77,80.0,73.0,8,192.0,E
DS,2006.0,Platform,Nintendo,29.8,89.0,65.0,8.5,431.0,E
Wii,2006.0,Misc,Nintendo,28.92,58.0,41.0,6.6,129.0,E
Wii,2009.0,Platform,Nintendo,28.32,87.0,80.0,8.4,594.0,E
DS,2005.0,Racing,Nintendo,23.21,91.0,64.0,8.6,464.0,E
Wii,2007.0,Sports,Nintendo,22.7,80.0,63.0,7.7,146.0,E
X360,2010.0,Misc,Microsoft Game Studios,21.81,61.0,45.0,6.3,106.0,E
Wii,2009.0,Sports,Nintendo,21.79,80.0,33.0,7.4,52.0,E
PS3,2013.0,Action,Take-Two Interactive,21.04,97.0,50.0,8.2,3994.0,M
PS2,2004.0,Action,Take-Two Interactive,20.81,95.0,80.0,9,1588.0,M
DS,2005.0,Misc,Nintendo,20.15,77.0,58.0,7.9,50.0,E
X360,2013.0,Action,Take-Two Interactive,16.27,97.0,58.0,8.1,3711.0,M
PS2,2002.0,Action,Take-Two Interactive,16.15,95.0,62.0,8.7,730.0,M
DS,2005.0,Puzzle,Nintendo,15.29,77.0,37.0,7.1,19.0,E
PS2,2001.0,Racing,Sony Computer Entertainment,14.98,95.0,54.0,8.4,314.0,E
X360,2011.0,Shooter,Activision,14.73,88.0,81.0,3.4,8713.0,M
X360,2010.0,Shooter,Activision,14.61,87.0,89.0,6.3,1454.0,M
PS3,2012.0,Shooter,Activision,13.79,83.0,21.0,5.3,922.0,M
X360,2012.0,Shooter,Activision,13.67,83.0,73.0,4.8,2256.0,M
X360,2009.0,Shooter,Activision,13.47,94.0,100.0,6.3,2698.0,M
PS3,2011.0,Shooter,Activision,13.32,88.0,39.0,3.2,5234.0,M
PS2,2001.0,Action,Take-Two Interactive,13.1,97.0,56.0,8.5,664.0,M
Wii,2008.0,Fighting,Nintendo,12.84,93.0,81.0,8.9,1662.0,T
3DS,2011.0,Racing,Nintendo,12.66,85.0,73.0,8.2,632.0,E
PS3,2010.0,Shooter,Activision,12.63,88.0,58.0,6.4,1094.0,M
PS4,2014.0,Action,Take-Two Interactive,12.61,97.0,66.0,8.3,2899.0,M
DS,2005.0,Simulation,Nintendo,12.13,86.0,57.0,8.7,242.0,E
X360,2007.0,Shooter,Microsoft Game Studios,12.12,94.0,86.0,7.8,4100.0,M
