0,1,2,3,4,5,6,7,8,9,10,11,12,13
27,4,177119,15,9,0,1,4,4,0,0,0,44,39
27,4,216481,9,12,4,10,1,4,0,0,0,40,39
25,4,256263,7,11,2,12,0,4,1,0,0,40,39
46,4,147640,4,2,2,14,0,0,1,0,1902,40,39
45,4,172822,1,6,0,14,1,4,1,0,2824,76,39
29,4,203697,9,12,2,10,3,4,1,0,0,75,39
42,2,226020,11,8,5,8,1,2,0,0,0,60,0
34,4,120461,15,9,0,1,1,4,0,0,0,50,39
60,2,101110,8,10,0,10,4,4,1,0,0,40,39
19,4,102723,15,9,4,1,3,4,0,0,0,40,39
21,4,204596,7,11,4,1,3,4,0,0,0,8,39
31,4,171871,12,13,4,10,1,4,0,0,0,46,39
53,4,123011,12,13,2,4,0,4,1,0,0,45,39
35,0,226379,11,8,2,0,2,4,0,0,0,25,39
51,2,153908,12,13,0,4,1,4,0,0,0,40,39
31,1,206823,9,12,0,11,1,4,1,0,0,50,39
37,4,164898,15,9,2,3,0,4,1,0,0,52,39
29,4,87507,10,15,2,10,0,1,1,0,0,60,19
68,0,117542,11,8,2,0,0,4,1,1409,0,15,39
24,4,176389,11,8,2,3,0,4,1,0,0,40,39
46,4,268358,1,6,5,7,1,4,0,0,0,40,39
53,4,126592,15,9,2,3,0,2,1,7688,0,40,39
54,4,421561,15,9,2,10,0,4,1,0,0,40,39
21,4,322931,15,9,4,3,1,4,1,0,0,55,39
56,4,245215,10,15,2,10,0,4,1,0,0,50,39
35,6,97277,14,14,2,10,0,4,1,0,0,65,39
46,4,219611,15,9,2,1,0,4,1,0,0,40,39
36,6,36425,15,9,0,12,4,4,0,0,0,35,39
20,4,170800,15,9,4,5,3,4,0,0,0,40,39
29,4,193152,11,8,4,6,1,4,1,0,1408,40,39
37,4,163199,15,9,0,13,1,0,0,0,0,40,39
17,4,183110,1,6,4,6,3,4,1,0,0,16,39
32,4,169240,11,8,0,7,1,4,0,0,0,38,39
23,4,320294,11,8,4,4,1,4,1,0,0,40,39
45,5,191776,12,13,0,12,4,4,0,25236,0,42,39
26,4,212793,11,8,4,7,1,4,1,0,0,40,39
31,4,178370,11,8,0,8,4,4,0,0,0,99,39
79,4,124744,15,9,2,10,2,4,1,0,0,20,39
49,4,184986,11,8,0,8,1,4,0,0,0,40,39
42,4,36271,9,12,2,12,0,4,1,0,0,40,39
67,4,94610,12,13,2,12,0,4,1,0,0,30,39
35,4,189623,10,15,2,4,0,4,1,0,0,45,39
44,4,326232,9,12,0,4,4,4,1,0,2547,50,39
31,4,196125,11,8,2,6,0,4,1,0,0,40,39
37,2,102936,9,12,0,10,4,4,0,0,0,55,39
22,7,477505,7,11,4,1,1,4,1,0,0,40,39
34,4,106541,15,9,2,7,0,4,1,0,0,40,39
45,4,353012,11,8,0,14,1,4,1,0,0,40,39
51,4,84399,11,8,2,7,0,2,1,0,0,40,39
28,4,177955,1,6,2,1,5,4,0,0,0,40,26
38,4,96330,8,10,0,1,4,2,0,0,0,40,39
40,4,99373,0,5,0,7,4,4,0,0,0,40,39
50,4,159650,15,9,2,13,0,4,1,0,0,60,39
33,4,93056,5,3,0,6,3,4,1,0,0,40,39
49,4,195727,9,12,2,4,0,4,1,0,0,40,39
44,4,171256,7,11,0,7,3,4,0,0,0,45,39
23,4,233711,11,8,2,8,0,4,1,0,0,50,39
20,4,138768,11,8,4,6,3,4,1,0,0,40,39
32,4,128016,11,8,3,8,4,4,0,0,0,20,39
64,4,221343,3,1,0,9,1,4,0,0,0,12,39
28,4,192200,9,12,2,10,0,4,1,0,0,40,0
47,2,138342,1,6,2,14,0,4,1,3411,0,40,8
37,4,179088,15,9,0,1,1,4,0,0,0,40,39
47,5,188610,11,8,2,7,0,4,1,0,0,48,39
59,0,87247,0,5,0,0,1,4,0,0,0,40,9
22,4,351952,15,9,4,10,4,4,0,0,0,20,39
47,4,185385,0,5,2,7,0,4,1,0,0,40,39
26,4,112847,8,10,4,13,3,4,1,0,0,40,39
44,4,226129,8,10,2,10,0,4,1,0,0,50,39
33,4,137310,11,8,4,7,3,4,0,0,0,40,0
46,4,133616,15,9,0,1,4,4,0,0,0,40,39
50,4,196193,9,12,2,3,0,4,1,0,0,40,0
44,4,119281,14,14,2,10,0,4,1,0,0,50,39
21,4,190968,11,8,4,7,3,4,1,0,0,40,39
33,4,172498,15,9,0,6,3,4,1,0,0,40,39
28,4,292536,15,9,4,14,1,4,1,0,0,50,39
29,4,370509,9,12,2,4,0,4,1,0,0,50,10
41,2,201435,11,8,2,14,0,2,1,0,0,40,39
19,4,331556,0,5,4,8,1,4,0,0,0,40,39
62,4,588484,9,12,2,12,0,4,1,0,0,20,39
50,4,97741,11,8,2,7,0,4,1,0,0,45,39
21,7,129345,15,9,4,11,1,4,1,0,0,40,39
60,4,389254,11,8,2,12,0,4,1,0,0,40,39
30,4,241885,15,9,2,5,0,4,1,0,0,40,39
47,4,398652,11,8,2,12,0,4,1,0,0,50,39
52,7,216342,9,12,6,4,4,4,0,0,0,55,39
36,4,184456,14,14,4,4,1,4,1,27828,0,50,39
67,0,159542,4,2,6,0,4,2,0,0,0,40,39
25,4,404616,9,12,2,4,0,4,1,0,0,40,39
22,4,205970,0,5,5,8,4,4,0,0,0,35,39
49,4,143459,6,4,5,6,3,4,1,0,0,38,39
38,4,119741,12,13,2,3,0,2,1,0,0,40,39
54,6,406468,11,8,2,12,0,2,1,0,0,40,39
63,4,188976,9,12,2,1,0,4,1,0,0,40,39
67,0,63552,5,3,6,0,1,4,0,0,0,35,39
22,4,326334,15,9,4,3,3,4,1,0,0,35,39
39,1,82622,9,12,4,1,1,4,1,0,0,45,39
31,4,145377,9,12,2,12,0,4,1,0,0,60,39
57,4,200316,15,9,2,3,0,4,1,0,0,40,39
22,4,117779,9,12,4,10,3,4,1,0,0,40,39
42,4,176286,7,11,2,4,0,4,1,0,0,40,39
19,4,260333,11,8,4,8,3,4,0,0,0,20,39
17,7,179319,0,5,4,8,3,4,1,0,0,30,39
28,6,38079,15,9,2,5,0,4,1,0,0,55,39
46,2,146497,11,8,0,10,1,4,0,0,0,40,39
45,4,148549,15,9,0,3,1,4,1,27828,0,56,39
20,4,194504,15,9,5,12,4,2,0,0,0,40,39
32,4,63564,11,8,4,8,3,2,0,0,0,40,39
67,4,224984,11,8,6,1,1,4,0,15831,0,16,11
52,4,282674,11,8,2,14,0,0,1,0,0,40,39
35,4,58343,11,8,2,12,0,4,1,0,0,44,39
43,4,99185,11,8,0,1,4,4,0,0,0,58,39
29,4,353352,8,10,4,3,2,4,1,0,0,40,39
42,4,204235,15,9,2,10,0,4,1,0,0,40,39
68,0,103161,11,8,6,0,1,4,1,0,0,32,39
29,4,212102,11,8,5,8,4,2,0,0,0,30,39
40,4,388725,15,9,0,4,1,4,1,0,0,40,39
30,4,437825,9,12,2,12,0,4,1,0,0,20,29
61,6,221884,15,9,2,1,0,4,1,0,0,50,39
46,4,91262,15,9,3,3,1,1,1,0,0,40,30
51,4,101432,11,8,2,3,0,4,1,0,0,40,39
42,4,173628,9,12,2,4,0,4,1,0,0,40,39
25,4,282313,0,5,4,6,3,2,1,0,1602,40,39
49,4,268022,9,12,2,12,0,4,1,0,0,50,39
58,4,222247,0,5,2,14,0,4,1,0,1887,40,39
56,5,211804,9,12,2,12,0,4,1,15024,0,50,39
51,5,351278,9,12,0,5,4,4,1,0,0,50,39
66,0,112871,1,6,4,0,1,4,1,0,0,30,39
38,4,119177,11,8,2,12,0,4,1,0,0,55,39
53,5,220786,15,9,6,12,1,4,0,0,0,60,39
17,4,159849,1,6,4,11,3,4,0,0,0,30,39
