0,1,2,3,4,5,6,7,8,9,10,11,12,13
45,4,170871,11,8,2,3,0,4,1,7298,0,60,39
47,7,108890,11,8,0,1,4,4,0,1831,0,38,39
48,4,187505,15,9,2,12,0,4,1,0,0,50,39
29,4,145592,11,8,4,3,1,4,1,0,0,40,13
23,4,203003,5,3,4,3,1,4,1,0,0,25,11
39,4,481060,11,8,0,12,4,4,0,0,0,40,39
19,6,73514,11,8,4,1,3,1,0,0,0,30,39
23,4,62339,9,12,4,10,3,4,1,0,0,40,39
33,4,85043,11,8,4,5,1,4,1,0,0,20,39
21,0,303588,15,9,4,0,3,4,0,0,0,30,39
41,4,233130,15,9,2,3,0,4,1,0,0,40,39
59,4,152968,15,9,5,1,2,4,1,3325,0,40,39
42,4,403187,11,8,0,6,4,2,0,0,0,40,39
31,4,74501,11,8,0,8,4,4,0,0,0,30,39
22,4,189950,9,12,4,10,1,4,1,0,0,55,39
35,4,108293,9,12,6,10,4,4,0,0,0,32,39
58,4,259014,15,9,4,14,1,4,1,0,0,20,39
60,6,264314,15,9,2,4,0,4,1,0,0,35,4
35,7,126569,11,8,2,3,0,4,1,7298,0,40,39
30,4,137076,11,8,2,14,0,4,1,0,0,40,39
40,4,110622,14,14,2,1,2,1,0,0,0,40,30
17,4,108402,0,5,4,12,3,4,0,0,0,20,39
32,4,169955,15,9,2,8,5,4,0,0,0,36,33
51,4,44000,12,13,2,10,5,4,0,99999,0,50,39
40,4,289748,9,12,4,4,1,4,0,4650,0,48,39
66,0,376028,11,8,2,0,5,4,0,0,0,20,39
57,4,199572,1,6,2,7,0,4,1,0,0,40,39
24,4,140001,9,12,4,1,1,4,1,0,0,40,39
23,4,159709,11,8,0,3,1,4,1,0,0,40,39
36,1,239074,7,11,2,8,0,4,1,0,0,40,39
24,4,373718,15,9,4,5,1,4,1,0,0,20,39
55,4,92215,11,8,0,1,1,4,0,0,0,40,39
30,5,178383,15,9,2,3,0,2,1,0,0,70,39
39,4,107302,11,8,2,10,0,4,1,0,0,45,0
25,4,161027,9,12,2,13,0,4,1,5178,0,40,39
36,4,66173,7,11,2,12,5,4,0,0,0,15,39
38,4,153066,12,13,0,4,1,4,1,0,0,45,39
27,4,122038,11,8,2,3,0,4,1,0,0,48,39
43,7,164790,15,9,0,1,1,2,1,0,0,50,39
48,4,161187,11,8,4,1,1,4,0,2463,0,40,39
24,4,29302,15,9,4,8,3,4,0,0,0,40,0
50,4,176227,9,12,2,4,0,4,1,0,0,40,0
26,2,283217,15,9,4,11,3,4,1,0,0,40,39
32,4,94041,11,8,2,8,0,4,1,0,0,25,21
36,4,248708,7,11,4,3,1,4,1,0,0,40,39
52,4,115851,11,8,2,3,0,4,1,0,0,40,39
68,0,186266,11,8,2,0,5,4,0,0,0,8,39
19,4,321817,1,6,4,8,3,4,0,0,0,40,39
45,6,204205,0,5,2,3,0,4,1,0,0,65,39
38,4,193815,7,11,2,4,0,4,1,0,0,55,22
34,7,180871,9,12,2,1,0,4,1,0,0,55,39
45,4,386940,9,12,0,4,3,4,1,0,1408,40,39
62,4,113080,5,3,0,3,3,4,1,0,0,40,39
40,5,225165,11,8,2,4,0,4,1,0,0,40,39
